           YEAR,            DAY,        QOMEAS1,         QOSIM1,
           2002,              1,   7.020000    ,   5.969560    ,
           2002,              2,   7.100000    ,   4.023189    ,
           2002,              3,   7.310000    ,   2.649248    ,
           2002,              4,   7.640000    ,   1.826743    ,
           2002,              5,   7.800000    ,   1.206281    ,
           2002,              6,   7.920000    ,  0.7992802    ,
           2002,              7,   8.110000    ,  0.5640412    ,
           2002,              8,   8.190000    ,  0.4135218    ,
           2002,              9,   7.900000    ,  0.3176018    ,
           2002,             10,   7.700000    ,  0.2485886    ,
           2002,             11,   7.540000    ,  0.1970953    ,
           2002,             12,   7.510000    ,  0.1605662    ,
           2002,             13,   7.410000    ,  0.1334312    ,
           2002,             14,   6.830000    ,  0.1132652    ,
           2002,             15,   6.200000    ,  0.9749439E-01,
           2002,             16,   6.350000    ,  0.8456113E-01,
           2002,             17,   6.780000    ,  0.7377299E-01,
           2002,             18,   6.600000    ,  0.6507979E-01,
           2002,             19,   6.840000    ,  0.5822890E-01,
           2002,             20,   7.040000    ,  0.5285757E-01,
           2002,             21,   7.100000    ,  0.4864558E-01,
           2002,             22,   6.860000    ,  0.4533124E-01,
           2002,             23,   6.770000    ,  0.4271374E-01,
           2002,             24,   7.030000    ,  0.4064379E-01,
           2002,             25,   7.010000    ,  0.3900873E-01,
           2002,             26,   6.360000    ,  0.3772497E-01,
           2002,             27,   6.560000    ,  0.3676841E-01,
           2002,             28,   7.080000    ,  0.3638134E-01,
           2002,             29,   7.490000    ,  0.3710699E-01,
           2002,             30,   7.700000    ,  0.3859847E-01,
           2002,             31,   7.810000    ,  0.4014518E-01,
           2002,             32,   8.070000    ,  0.4150051E-01,
           2002,             33,   8.170000    ,  0.4251755E-01,
           2002,             34,   8.080000    ,  0.4313765E-01,
           2002,             35,   8.000000    ,  0.4339630E-01,
           2002,             36,   7.950000    ,  0.4342392E-01,
           2002,             37,   7.930000    ,  0.4377143E-01,
           2002,             38,   7.850000    ,  0.4519041E-01,
           2002,             39,   7.850000    ,  0.4821005E-01,
           2002,             40,   7.540000    ,  0.5329223E-01,
           2002,             41,   7.500000    ,  0.6008771E-01,
           2002,             42,   7.360000    ,  0.6764730E-01,
           2002,             43,   7.010000    ,  0.7526661E-01,
           2002,             44,   7.030000    ,  0.8220173E-01,
           2002,             45,   7.050000    ,  0.8812199E-01,
           2002,             46,   7.240000    ,  0.9300164E-01,
           2002,             47,   7.190000    ,  0.9677534E-01,
           2002,             48,   7.330000    ,  0.9909506E-01,
           2002,             49,   7.200000    ,  0.1002718    ,
           2002,             50,   6.950000    ,  0.1007769    ,
           2002,             51,   6.910000    ,  0.1016729    ,
           2002,             52,   6.800000    ,  0.1039275    ,
           2002,             53,   6.830000    ,  0.1077169    ,
           2002,             54,   6.560000    ,  0.1137002    ,
           2002,             55,   6.240000    ,  0.1268208    ,
           2002,             56,   6.120000    ,  0.1445242    ,
           2002,             57,   6.110000    ,  0.1517791    ,
           2002,             58,   6.030000    ,  0.1501675    ,
           2002,             59,   6.010000    ,  0.1458813    ,
           2002,             60,   5.930000    ,  0.1396202    ,
           2002,             61,   5.880000    ,  0.1328416    ,
           2002,             62,   6.090000    ,  0.1258502    ,
           2002,             63,   6.260000    ,  0.1182941    ,
           2002,             64,   5.930000    ,  0.1111545    ,
           2002,             65,   6.220000    ,  0.1047483    ,
           2002,             66,   6.250000    ,  0.9914989E-01,
           2002,             67,   6.470000    ,  0.9433408E-01,
           2002,             68,   6.020000    ,  0.9014184E-01,
           2002,             69,   6.090000    ,  0.8625134E-01,
           2002,             70,   6.280000    ,  0.8239309E-01,
           2002,             71,   6.170000    ,  0.7846460E-01,
           2002,             72,   6.270000    ,  0.7454310E-01,
           2002,             73,   5.990000    ,  0.7118683E-01,
           2002,             74,   5.820000    ,  0.7267981E-01,
           2002,             75,   5.750000    ,  0.1026225    ,
           2002,             76,   5.580000    ,  0.1292590    ,
           2002,             77,   5.940000    ,  0.1279369    ,
           2002,             78,   6.060000    ,  0.1289774    ,
           2002,             79,   6.090000    ,  0.1274297    ,
           2002,             80,   6.410000    ,  0.1237751    ,
           2002,             81,   6.860000    ,  0.1181950    ,
           2002,             82,   7.360000    ,  0.1724732    ,
           2002,             83,   7.340000    ,  0.3707214    ,
           2002,             84,   7.040000    ,   2.052484    ,
           2002,             85,   6.630000    ,   1.407193    ,
           2002,             86,   6.330000    ,   1.224105    ,
           2002,             87,   6.240000    ,   1.254660    ,
           2002,             88,   6.120000    ,   1.252340    ,
           2002,             89,   6.070000    ,   1.218321    ,
           2002,             90,   6.160000    ,   1.179872    ,
           2002,             91,   6.230000    ,   1.198638    ,
           2002,             92,   5.990000    ,   1.192266    ,
           2002,             93,   6.170000    ,   1.159337    ,
           2002,             94,   6.250000    ,   1.159994    ,
           2002,             95,   6.500000    ,   1.301297    ,
           2002,             96,   6.870000    ,   1.575353    ,
           2002,             97,   7.040000    ,   1.800270    ,
           2002,             98,   6.920000    ,   2.174330    ,
           2002,             99,   6.930000    ,   2.262180    ,
           2002,            100,   7.090000    ,   2.304649    ,
           2002,            101,   7.350000    ,   3.119616    ,
           2002,            102,   7.720000    ,   4.506680    ,
           2002,            103,   8.480000    ,   6.036420    ,
           2002,            104,   8.990000    ,   6.635556    ,
           2002,            105,   8.690000    ,   6.553710    ,
           2002,            106,   8.330000    ,   5.787880    ,
           2002,            107,   8.150000    ,   5.365703    ,
           2002,            108,   8.080000    ,   5.007749    ,
           2002,            109,   8.170000    ,   4.829961    ,
           2002,            110,   8.440000    ,   6.113408    ,
           2002,            111,   8.760000    ,   9.163503    ,
           2002,            112,   8.840000    ,   12.69344    ,
           2002,            113,   8.750000    ,   12.57804    ,
           2002,            114,   8.280000    ,   10.18475    ,
           2002,            115,   7.940000    ,   8.775014    ,
           2002,            116,   7.940000    ,   7.737350    ,
           2002,            117,   7.780000    ,   7.256485    ,
           2002,            118,   7.800000    ,   8.229492    ,
           2002,            119,   7.980000    ,   11.52806    ,
           2002,            120,   8.280000    ,   15.56350    ,
           2002,            121,   8.530000    ,   17.57781    ,
           2002,            122,   8.570000    ,   18.28700    ,
           2002,            123,   8.990000    ,   21.68392    ,
           2002,            124,   8.700000    ,   22.05975    ,
           2002,            125,   8.460000    ,   17.22505    ,
           2002,            126,   8.270000    ,   13.75580    ,
           2002,            127,   8.080000    ,   11.36740    ,
           2002,            128,   7.770000    ,   10.56611    ,
           2002,            129,   7.650000    ,   11.42104    ,
           2002,            130,   7.650000    ,   14.54382    ,
           2002,            131,   7.690000    ,   17.92974    ,
           2002,            132,   7.850000    ,   22.10715    ,
           2002,            133,   8.380000    ,   27.87107    ,
           2002,            134,   9.650000    ,   35.99703    ,
           2002,            135,   10.40000    ,   37.92646    ,
           2002,            136,   10.00000    ,   39.19883    ,
           2002,            137,   9.710000    ,   38.41640    ,
           2002,            138,   9.780000    ,   36.00595    ,
           2002,            139,   10.20000    ,   35.01933    ,
           2002,            140,   16.30000    ,   34.60779    ,
           2002,            141,   46.50000    ,   37.34139    ,
           2002,            142,   53.30000    ,   43.02381    ,
           2002,            143,   40.90000    ,   48.37716    ,
           2002,            144,   33.50000    ,   46.63114    ,
           2002,            145,   29.30000    ,   39.59839    ,
           2002,            146,   28.00000    ,   34.30919    ,
           2002,            147,   31.70000    ,   33.54485    ,
           2002,            148,   42.70000    ,   39.29567    ,
           2002,            149,   56.90000    ,   51.61807    ,
           2002,            150,   77.50000    ,   67.15417    ,
           2002,            151,   86.90000    ,   83.62159    ,
           2002,            152,   82.00000    ,   104.5929    ,
           2002,            153,   80.00000    ,   120.1073    ,
           2002,            154,   79.80000    ,   122.8402    ,
           2002,            155,   84.60000    ,   115.5756    ,
           2002,            156,   91.40000    ,   119.5503    ,
           2002,            157,   115.0000    ,   152.4731    ,
           2002,            158,   99.00000    ,   128.7551    ,
           2002,            159,   83.30000    ,   111.8650    ,
           2002,            160,   71.50000    ,   102.4125    ,
           2002,            161,   66.20000    ,   100.7195    ,
           2002,            162,   64.80000    ,   97.38853    ,
           2002,            163,   67.20000    ,   98.70992    ,
           2002,            164,   92.40000    ,   101.1779    ,
           2002,            165,   132.0000    ,   118.8727    ,
           2002,            166,   167.0000    ,   136.9371    ,
           2002,            167,   195.0000    ,   142.7768    ,
           2002,            168,   214.0000    ,   180.5435    ,
           2002,            169,   209.0000    ,   212.6255    ,
           2002,            170,   192.0000    ,   227.3849    ,
           2002,            171,   163.0000    ,   217.5717    ,
           2002,            172,   159.0000    ,   191.4406    ,
           2002,            173,   166.0000    ,   182.2878    ,
           2002,            174,   184.0000    ,   173.4958    ,
           2002,            175,   192.0000    ,   170.9796    ,
           2002,            176,   201.0000    ,   159.5203    ,
           2002,            177,   205.0000    ,   138.5525    ,
           2002,            178,   215.0000    ,   119.2228    ,
           2002,            179,   224.0000    ,   111.9490    ,
           2002,            180,   226.0000    ,   109.6033    ,
           2002,            181,   207.0000    ,   112.4798    ,
           2002,            182,   166.0000    ,   105.4374    ,
           2002,            183,   132.0000    ,   80.79949    ,
           2002,            184,   113.0000    ,   55.21957    ,
           2002,            185,   104.0000    ,   37.84422    ,
           2002,            186,   96.50000    ,   24.62029    ,
           2002,            187,   85.90000    ,   21.79837    ,
           2002,            188,   81.00000    ,   21.25490    ,
           2002,            189,   91.80000    ,   19.83833    ,
           2002,            190,   113.0000    ,   21.90841    ,
           2002,            191,   121.0000    ,   28.42623    ,
           2002,            192,   126.0000    ,   30.62401    ,
           2002,            193,   136.0000    ,   27.35985    ,
           2002,            194,   140.0000    ,   22.93845    ,
           2002,            195,   140.0000    ,   19.65187    ,
